tipotiempo,tiempo,instancia,interacion
_total_solve_system_time,85.832577,AMPL1,40
_total_solve_user_time,1590.462824,AMPL1,40
_total_solve_time,1676.295401,AMPL1,40
_ampl_elapsed_time,2594.832478,AMPL1,41
_ampl_system_time,50.861245,AMPL1,41
_ampl_user_time,2293.205051,AMPL1,41
_ampl_time,2344.066315,AMPL1,41
_solve_elapsed_time,31.201006,AMPL1,41
_solve_system_time,2.341569,AMPL1,41
_solve_user_time,35.530389,AMPL1,41
_solve_time,37.871958,AMPL1,41
_total_solve_elapsed_time,1269.52425,AMPL1,41
_total_solve_system_time,88.174146,AMPL1,41
_total_solve_user_time,1625.993213,AMPL1,41
_total_solve_time,1714.167359,AMPL1,41
_ampl_elapsed_time,2665.038487,AMPL1,42
_ampl_system_time,52.140684,AMPL1,42
_ampl_user_time,2356.756961,AMPL1,42
_ampl_time,2408.897662,AMPL1,42
_solve_elapsed_time,35.354534,AMPL1,42
_solve_system_time,2.331655,AMPL1,42
_solve_user_time,49.687618,AMPL1,42
_solve_time,52.019273,AMPL1,42
_total_solve_elapsed_time,1304.878784,AMPL1,42
_total_solve_system_time,90.505801,AMPL1,42
_total_solve_user_time,1675.680831,AMPL1,42
_total_solve_time,1766.186632,AMPL1,42
_ampl_elapsed_time,2734.853721,AMPL1,43
_ampl_system_time,53.367136,AMPL1,43
_ampl_user_time,2417.704735,AMPL1,43
_ampl_time,2471.071886,AMPL1,43
_solve_elapsed_time,35.07087,AMPL1,43
_solve_system_time,2.400077,AMPL1,43
_solve_user_time,54.462292,AMPL1,43
_solve_time,56.862369,AMPL1,43
_total_solve_elapsed_time,1339.949654,AMPL1,43
_total_solve_system_time,92.905878,AMPL1,43
_total_solve_user_time,1730.143123,AMPL1,43
_total_solve_time,1823.049001,AMPL1,43
_ampl_elapsed_time,2801.530254,AMPL1,44
_ampl_system_time,54.551831,AMPL1,44
_ampl_user_time,2478.399592,AMPL1,44
_ampl_time,2532.951437,AMPL1,44
_solve_elapsed_time,35.662369,AMPL1,44
_solve_system_time,2.363204,AMPL1,44
_solve_user_time,45.508829,AMPL1,44
_solve_time,47.872033,AMPL1,44
_total_solve_elapsed_time,1375.612023,AMPL1,44
_total_solve_system_time,95.269082,AMPL1,44
_total_solve_user_time,1775.651952,AMPL1,44
_total_solve_time,1870.921034,AMPL1,44
_ampl_elapsed_time,2870.689792,AMPL1,45
_ampl_system_time,55.863234,AMPL1,45
_ampl_user_time,2540.583316,AMPL1,45
_ampl_time,2596.44655,AMPL1,45
_solve_elapsed_time,33.877964,AMPL1,45
_solve_system_time,2.507415,AMPL1,45
_solve_user_time,39.272559,AMPL1,45
_solve_time,41.779974,AMPL1,45
_total_solve_elapsed_time,1409.489987,AMPL1,45
_total_solve_system_time,97.776497,AMPL1,45
_total_solve_user_time,1814.924511,AMPL1,45
_total_solve_time,1912.701008,AMPL1,45
_ampl_elapsed_time,2938.99466,AMPL1,46
_ampl_system_time,56.98289,AMPL1,46
_ampl_user_time,2602.660207,AMPL1,46
_ampl_time,2659.643117,AMPL1,46
_solve_elapsed_time,59.703452,AMPL1,46
_solve_system_time,2.456696,AMPL1,46
_solve_user_time,116.815033,AMPL1,46
_solve_time,119.271729,AMPL1,46
_total_solve_elapsed_time,1469.193439,AMPL1,46
_total_solve_system_time,100.233193,AMPL1,46
_total_solve_user_time,1931.739544,AMPL1,46
_total_solve_time,2031.972737,AMPL1,46
_ampl_elapsed_time,3006.330063,AMPL1,47
_ampl_system_time,58.285334,AMPL1,47
_ampl_user_time,2662.822316,AMPL1,47
_ampl_time,2721.107664,AMPL1,47
_solve_elapsed_time,57.416744,AMPL1,47
_solve_system_time,2.284824,AMPL1,47
_solve_user_time,124.680846,AMPL1,47
_solve_time,126.96567,AMPL1,47
_total_solve_elapsed_time,1526.610183,AMPL1,47
_total_solve_system_time,102.518017,AMPL1,47
_total_solve_user_time,2056.42039,AMPL1,47
_total_solve_time,2158.938407,AMPL1,47
_ampl_elapsed_time,3073.351435,AMPL1,48
_ampl_system_time,59.594743,AMPL1,48
_ampl_user_time,2723.037211,AMPL1,48
_ampl_time,2782.631972,AMPL1,48
_solve_elapsed_time,36.663655,AMPL1,48
_solve_system_time,2.349735,AMPL1,48
_solve_user_time,49.736635,AMPL1,48
_solve_time,52.08637,AMPL1,48
_total_solve_elapsed_time,1563.273838,AMPL1,48
_total_solve_system_time,104.867752,AMPL1,48
_total_solve_user_time,2106.157025,AMPL1,48
_total_solve_time,2211.024777,AMPL1,48
_ampl_elapsed_time,3141.831855,AMPL1,49
_ampl_system_time,60.931137,AMPL1,49
_ampl_user_time,2783.798204,AMPL1,49
_ampl_time,2844.729359,AMPL1,49
_solve_elapsed_time,38.884089,AMPL1,49
_solve_system_time,2.603796,AMPL1,49
_solve_user_time,54.216642,AMPL1,49
_solve_time,56.820438,AMPL1,49
_total_solve_elapsed_time,1602.157927,AMPL1,49
_total_solve_system_time,107.471548,AMPL1,49
_total_solve_user_time,2160.373667,AMPL1,49
_total_solve_time,2267.845215,AMPL1,49
_ampl_elapsed_time,3212.256521,AMPL1,50
_ampl_system_time,62.152413,AMPL1,50
_ampl_user_time,2845.345801,AMPL1,50
_ampl_time,2907.498228,AMPL1,50
_solve_elapsed_time,64.095834,AMPL1,50
_solve_system_time,2.67529,AMPL1,50
_solve_user_time,143.032125,AMPL1,50
_solve_time,145.707415,AMPL1,50
_total_solve_elapsed_time,1666.253761,AMPL1,50
_total_solve_system_time,110.146838,AMPL1,50
_total_solve_user_time,2303.405792,AMPL1,50
_total_solve_time,2413.55263,AMPL1,50
_ampl_elapsed_time,3279.019931,AMPL1,51
_ampl_system_time,63.3229,AMPL1,51
_ampl_user_time,2906.067042,AMPL1,51
_ampl_time,2969.389942,AMPL1,51
_solve_elapsed_time,87.81528,AMPL1,51
